Country;ISO3166_alpha3;pop;Years
Bulgaria;BGR;8.767;1991
Bulgaria;BGR;8.676379;1992
Bulgaria;BGR;8.576042;1993
Bulgaria;BGR;8.474822;1994
Bulgaria;BGR;8.379305;1995
Bulgaria;BGR;8.29197;1996
Bulgaria;BGR;8.211804;1997
Bulgaria;BGR;8.137669;1998
Bulgaria;BGR;8.067005;1999
Bulgaria;BGR;7.997951;2000
Bulgaria;BGR;7.9307;2001
Bulgaria;BGR;7.866242;2002
Bulgaria;BGR;7.804306;2003
Bulgaria;BGR;7.74463;2004
Bulgaria;BGR;7.686964;2005
Bulgaria;BGR;7.63102;2006
Bulgaria;BGR;7.576675;2007
Bulgaria;BGR;7.524084;2008
Bulgaria;BGR;7.473509;2009
Bulgaria;BGR;7.425011;2010
Bulgaria;BGR;7.378652;2011
Bulgaria;BGR;7.334007;2012
Bulgaria;BGR;7.290092;2013
Bulgaria;BGR;7.245648;2014
Bulgaria;BGR;7.199739;2015
Bulgaria;BGR;7.151948;2016
Bulgaria;BGR;7.102452;2017
Bulgaria;BGR;7.05161;2018
Bulgaria;BGR;7.000117;2019
Canada;CAN;19.627973;1965
Canada;CAN;19.975695;1966
Canada;CAN;20.324786;1967
Canada;CAN;20.674999;1968
Canada;CAN;21.025257;1969
Canada;CAN;21.374326;1970
Canada;CAN;21.723465;1971
Canada;CAN;22.072193;1972
Canada;CAN;22.415313;1973
Canada;CAN;22.745896;1974
Canada;CAN;23.059266;1975
Canada;CAN;23.354587;1976
Canada;CAN;23.634377;1977
Canada;CAN;23.901716;1978
Canada;CAN;24.161133;1979
Canada;CAN;24.416885;1980
Canada;CAN;24.668159;1981
Canada;CAN;24.916538;1982
Canada;CAN;25.171436;1983
Canada;CAN;25.444886;1984
Canada;CAN;25.744807;1985
Canada;CAN;26.075504;1986
Canada;CAN;26.432894;1987
Canada;CAN;26.806125;1988
Canada;CAN;27.179497;1989
Canada;CAN;27.541323;1990
Canada;CAN;27.888813;1991
Canada;CAN;28.22441;1992
Canada;CAN;28.547964;1993
Canada;CAN;28.860734;1994
Canada;CAN;29.164153;1995
Canada;CAN;29.45782;1996
Canada;CAN;29.742378;1997
Canada;CAN;30.022078;1998
Canada;CAN;30.302511;1999
